Ville demandée (slug);Titre;Prix;Surface;Pièces;Lien;Image;Agent;Description;Nombre de lots;Charges prévisionnelles;Procédure en cours;Prix de vente;Prix au m²;DPE;GES;Nombre de photos;Note;Avis;Note_num;Avis_num;Photos_num
paris-75;Appartement à Paris (75010);899 000 €;102 m²;5 pièces;https://www.iadfrance.fr/annonce/appartement-vente-5-pieces-paris-102m2/r1864528;https://images.iadfrance.fr/property/broadcast/2025/10/11/0199d1f6cb950304eebbad3299819f8b.jpg?format=auto&width=300;Anne-Sophie LECLERE;"PARIS Xe - Magenta / Marché St Quentin / Gare de l'Est 
Découvrez ce magnifique appartement de 5 pièces de 102 m2 environ qui offrira un beau cadre de vie à votre famille.

Dès l'entrée, vous bénéficiez d'une belle distribution en étoile : séjour, salle à manger, cuisine, chambre, bureau/dressing, salle de bain et WC. Deux autres chambres sont accessibles par une pièce de vie. 

Cet appartement a conservé toute son élégance : moulures, parquet en pointe de Hongrie et également ses deux belles cheminées avec leur miroir. De plus, vous apprécierez sa disposition sans aucune perte de place. 

Tous les aménagements sont possibles ! Si vous souhaitez privilégier de grands espaces de vie vous pourrez moduler l'intérieur selon vos envies et vos goûts et créer un triple séjour, ouvrir ou agrandir la cuisine. Cet appartement répondra parfaitement à tous vos désirs. 

Accessible en ascenseur, vous pourrez aussi exploiter cet appartement pour y accueillir votre activité. Les professions libérales sont les bienvenues. 

Une grande cave complète ce bien. 

La presente annonce immobiliere vise 2 lots situés dans une copropriété de 25 lots au total et faisant l'objet d'une ou plusieurs procédures en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 292.12€ par mois (soit 3505.48 € annuel). Honoraires d'agence à la charge de l'acquéreur. Prix honoraires inclus : 899000 euros. Prix hors honoraires : 875000 euros. Honoraires TTC à la charge de l'acquéreur (2,74% du prix du bien hors honoraires) : 24000 euros.
Information d'affichage énergétique sur ce bien : classe ENERGIE E indice 289 et classe CLIMAT E indice 63. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Anne-Sophie LECLERE mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de PARIS sous le numéro 899382113, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";25;3 505 € / an;oui;899 000 €;8 814 € / m²;E;E;3;5;18;5.0;18.0;3
paris-75;Appartement à Paris (75015);375 000 €;38 m²;2 pièces;https://www.iadfrance.fr/annonce/appartement-vente-2-pieces-paris-38m2/r1865695;https://images.iadfrance.fr/property/broadcast/2025/10/10/0199cee0ae6d7cfbcf6a69c0e3f042c0.jpg?format=auto&width=300;Marie Aubier;"Au calme , dans une jolie copropriété , cet appartement situé rue Mademoiselle se compose d'une pièce de vie avec coin cuisine, une chambre, une salle d'eau ainsi qu'une cave.

La presente annonce immobiliere vise 2 lots situés dans une copropriété de 40 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 120€ par mois (soit 1440 € annuel). Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE F indice 355 et classe CLIMAT E indice 60. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Marie Aubier mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de NANTERRE sous le numéro 538156928, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";40;1 440 € / an;aucune;375 000 €;9 868 € / m²;Logement à consommation énergétique excessive;E;10;4.9;19;4.9;19.0;10
paris-75;Appartement à Paris (75018);410 000 €;42 m²;2 pièces;https://www.iadfrance.fr/annonce/appartement-vente-2-pieces-paris-42m2/r1865549;https://images.iadfrance.fr/property/broadcast/2025/10/10/0199ce95047e30ec03dcf76243d60ed5.jpg?format=auto&width=300;Sylvia Giarratana;"Charmant 2 pièces lumineux métro Lamarck Caulaincourt - rue Marcadet.
A proximité du métro Lamarck- Caulaincourt , découvrez ce beau 2 pièces de 42 m², situé au 6ème étage avec ascenseur d'une résidence bien entretenue avec gardien et piscine, au coeur du quartier recherché Damrémont-Lamarck.
Entièrement sur cour et exposé au Sud, l'appartement offre un calme absolu et une belle luminosité.
Il se compose d'une entrée, d'un séjour / salle à manger lumineux ouvrant sur un balcon, d'une chambre spacieuse, d'une cuisine séparée et aménagée ainsi qu'une salle d'eau avec wc et emplacement pour lave-linge.
Une cave complète ce bien.
L'immeuble, avec piscine privée, offre un cadre de vie privilégié.
Vous profiterez du charme authentique de Montmartre, de ses rues commerçantes, cafés typiques et marchés ainsi que tous les transports et commodités au pied de l'immeuble. 

Atouts :
- 6ème étage avec ascenseur
- Piscine dans la copropriété
- exposition Sud et calme absolu
- Balcon  sur cour
- Plan optimisé
- Vie de quartier recherchée

Un bien idéal pour un premier achat, un pied-à-terre ou u n investissement locatif.

La presente annonce immobiliere vise 2 lots situés dans une copropriété de 662 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 275.67€ par mois (soit 3308 € annuel). Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE E indice 262 et classe CLIMAT E indice 56. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Sylvia Giarratana mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de PARIS sous le numéro 828185777, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";662;3 308 € / an;aucune;410 000 €;9 762 € / m²;E;E;13;5;18;5.0;18.0;13
paris-75;Appartement à Paris (75019);870 000 €;102 m²;5 pièces;https://www.iadfrance.fr/annonce/appartement-vente-5-pieces-paris-102m2/r1863913;https://images.iadfrance.fr/property/broadcast/2025/10/10/0199cfb85ec81fe2d817c5d2dfbd0078.png?format=auto&width=300;Léa Lucas;"Appartement à vendre – Paris 19e – Buttes Chaumont. Parties communes rénovées - appartement en excellent état
4 pièces – 101,74 m² – Dernier étage avec ascenseur.

Emplacement:
Situé au cœur du Plateau Jourdain, quartier calme et recherché du 19e arrondissement, à proximité du parc des Buttes-Chaumont. L’environnement offre un cadre de vie agréable à deux pas des écoles, commerces, restaurants et services.

Description du bien:
Au dernier étage d’un immeuble en très bon état avec ascenseur, cet appartement de 101,74 m² a été rénové avec des matériaux de qualité. Lumineux et paisible, il séduit par ses volumes et son agencement fonctionnel.

Agencement:
	•	Séjour spacieux et traversant, bénéficiant d’une double exposition
	•	Cuisine équipée et fonctionnelle
	•	Trois chambres, dont une suite parentale avec salle de bains privative, wc et grand dressing
	•	Salle d’eau indépendante ainsi qu'un wc indépendant.
.
Annexes et atouts
	•	Cave en sous-sol
	•	Box spacieux (parking) compris dans le prix du bien.

La presente annonce immobiliere vise 3 lots situés dans une copropriété de 313 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 487€ par mois (soit 5844 € annuel). Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE G indice 480 et classe CLIMAT G indice 103. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Léa Lucas mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de PONTOISE sous le numéro 891110405, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";313;5 844 € / an;aucune;870 000 €;8 529 € / m²;Logement à consommation énergétique excessive;G;20;5;7;5.0;7.0;20
paris-75;Appartement à Paris (75015);830 000 €;63 m²;3 pièces;https://www.iadfrance.fr/annonce/appartement-vente-3-pieces-paris-63m2/r1865217;https://images.iadfrance.fr/property/broadcast/2025/10/10/0199cd7861ef191acff856b2753f91ba.jpg?format=auto&width=300;Emmanuel Brault;"Appartement de charme, 3 pièces de 63 m², dans un immeuble art nouveau de 1913, rue du Laos, Paris 15, limite Paris 7 – Tour Eiffel - Cambronne (L6) à 2 mn, La Motte-Picquet Grenelle (L 6, 8, 10) à 4 mn.

Situé au 3e étage avec ascenseur, cet appartement traversant au charme de l'ancien avec parquet d'époque, cheminées et moulures, est parfaitement agencé. Côté rue, orientées plein ouest,  nous trouvons trois belles pièces de vie avec balconnets : le double séjour de 24 m² ainsi que les deux chambres de 10 m² et 13 m². Côté cour, nous trouvons la cuisine, la salle de bains et le toilette indépendant avec lave-mains. Disposant d'un emplacement idéal, à deux pas des transports, de la Tour Eiffel, des boutiques de luxe, découvrez cet appartement de prestige typiquement parisien !

La presente annonce immobiliere vise 2 lots situés dans une copropriété de 21 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 450€ par mois (soit 5400 € annuel). Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE F indice 417 et classe CLIMAT C indice 13. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Emmanuel Brault mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de Paris sous le numéro 925042608, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";21;5 400 € / an;aucune;830 000 €;13 175 € / m²;Logement à consommation énergétique excessive;C;26;5;3;5.0;3.0;26
paris-75;Civette à PARIS (75015);760 000 €;18 m²;Pas de pièces;https://www.iadfrance.fr/annonce/local-commercial-vente-paris-18m2/r1861892;https://images.iadfrance.fr/photos/realestate/2025-10/product-1921744-1.jpg?ts=202510101434&format=auto&width=300;Wei Xi;"75 – Civette située dans un très beau quartier de Paris

Idéalement situé à seulement 2 minutes à pied du métro, dans un quartier dynamique et passant de Paris .

Local récemment rénové, en excellent état, prêt à travailler sans frais

Loyer très avantageux d’environ 1000 €/Mois sans TVA/Charges compris.

Chiffres clés :

Commission 80000k de tabac net et Commission totale : 240 000 EUR !

Très bonne rentabilité !

Information d'affichage énergétique sur le bien associé à cette annonce : DPE NS indice  et GES NS indice .La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Wei Xi (ID 34487), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de CRETEIL sous le numéro 843927799";Non renseigné;Non renseigné;Non renseigné;760 000 €;42 222 € / m²;Pas de DPE;Pas de GES;1;5;21;5.0;21.0;1
paris-75;Appartement à Paris (75015);195 000 €;16 m²;1 pièce;https://www.iadfrance.fr/annonce/appartement-vente-1-piece-paris-16m2/r1863588;https://images.iadfrance.fr/property/broadcast/2025/10/09/0199c958c063cb753a6a3d46446c84f8.jpg?format=auto&width=300;Hélène Le Gac;"Studio meublé à vendre – Paris 15ᵉ – Idéal investisseur ou pied-à-terre – Proche Parc des Expositions

À vendre à Paris 15ᵉ, charmant studio meublé et entièrement aménagé, situé à deux pas du Parc des Expositions de la Porte de Versailles.

Ce studio clé en main, sans aucun travaux à prévoir, offre tout le confort nécessaire pour accueillir jusqu’à 4 personnes grâce à deux couchages doubles.

- Surface : 16m2
- Rez-de-chaussée pratique, parfait pour les voyageurs ou les séjours professionnels
- Cuisine équipée, salle d’eau moderne, rangements optimisés
- Quartier recherché, à proximité immédiate des transports, commerces et restaurants
- Idéal investisseur : emplacement très demandé pour la location saisonnière ou Airbnb, notamment grâce à la proximité du Parc des Expositions

- Atouts : aucun travaux à prévoir, décoration soignée, logement prêt à habiter ou à louer.

Ce studio à vendre à Paris 15ᵉ est une opportunité rare : que vous recherchiez un pied-à-terre parisien, un investissement locatif rentable, ou un bien pratique et agréable, il saura vous séduire par sa situation et son charme.

La presente annonce immobiliere vise 1 lot situé dans une copropriété de 30 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 42€ par mois (soit 504 € annuel). Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE G indice 603 et classe CLIMAT C indice 19. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Hélène Le Gac mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 838674950, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";30;504 € / an;aucune;195 000 €;12 188 € / m²;Logement à consommation énergétique excessive;C;7;5;10;5.0;10.0;7
paris-75;Appartement à Paris (75014);575 000 €;48 m²;2 pièces;https://www.iadfrance.fr/annonce/appartement-vente-2-pieces-paris-48m2/r1864512;https://images.iadfrance.fr/property/broadcast/2025/10/10/0199cd1a15f5d78dd8ed74c73dbc26e9.jpg?format=auto&width=300;Diae Maspimby;"Un appartement chargé d’histoire, au cœur d’un immeuble emblématique

Bienvenue dans cet appartement plein de charme et d’âme, niché dans le célèbre immeuble Méridien, un lieu unique où ont vécu Jacques Brel et Georges Brassens.
Conçu en 1964 par les architectes Héaume et Persitz, l’immeuble allie élégance et qualité de vie, avec ses jardins arborés, sa structure en Y.

Vous êtes ici au cœur du 14ᵉ arrondissement, dans l’un des quartiers les plus appréciés de Paris.
À deux pas de la rue Daguerre, célèbre pour ses commerces de bouche, ses terrasses conviviales et son ambiance de village, tout est à portée de main.
Le parc Montsouris, ses allées ombragées et son lac.

Les amateurs d’art seront ravis de la proximité de la Fondation Giacometti et de la Fondation Cartier.

Côté pratique, l’appartement est parfaitement desservi : métro Saint-Jacques, RER Denfert-Rochereau, plusieurs lignes de bus et l’aéroport d’Orly à 20 minutes seulement.
Le quartier compte également de nombreuses écoles.

Un havre de lumière et de confort - SANS VIS A VIS 

49 m² habitables et 9 m² de balcon avec vue dégagée sur les toits de Paris.

Entrée avec dressing, séjour lumineux, cuisine américaine équipée ouverte sur le salon
Chambre calme avec accès direct au balcon
Salle de bain avec baignoire et WC séparés
Cave de 5 m² au sous sol.

Ne manquez pas l'opportunité d'acquérir ce charmant appartement à Paris, un investissement sûr et un cadre de vie agréable au cœur de la capitale. Contactez-nous dès aujourd'hui pour organiser une visite !

La presente annonce immobiliere vise 1 lot situé dans une copropriété de 2 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 295.17€ par mois (soit 3542 € annuel). Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 171 et classe CLIMAT C indice 29. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Diae Maspimby mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de EVRY sous le numéro 991326737, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.";2;3 542 € / an;aucune;575 000 €;11 979 € / m²;C;C;13;Pas de note;Pas d'avis;;;13
paris-75;Restaurant à PARIS (75008);260 000 €;64 m²;Pas de pièces;https://www.iadfrance.fr/annonce/local-commercial-vente-paris-64m2/r1854529;https://images.iadfrance.fr/photos/realestate/2025-09/product-1914223-1.jpg?ts=202510092224&format=auto&width=300;Yingying ZHENG;"À CÉDER – Restaurant à PARIS 



Bon Emplacement 

Situé en plein cœur d’un quartier de bureau et touriste à Paris.

Bureaux, entreprises et clientèle fidèle toute l’année !



Activité actuelle

- Principalement sur place (pas de livraison)

- Convient pour cuisine japonaise, Nouille, etc.



Surface : env. 64 m² environ (RDC + étage)



Local propre, bien agencé et prêt à travailler



Loyer + charges : 3920 €HTCC/mois

Taxe foncier est à la charge du brailleur.

 Bail commercial 369



Prix de cession : 260 000 €



Contactez-nous pour plus d'infos ou une visite !

 Opportunité à saisir rapidement !

 Visite sur RDV uniquement

Information d'affichage énergétique sur le bien associé à cette annonce : DPE NS indice  et GES NS indice .La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Yingying ZHENG (ID 54403), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de CRETEIL sous le numéro 899980148";Non renseigné;Non renseigné;Non renseigné;260 000 €;4 063 € / m²;Pas de DPE;Pas de GES;1;4.8;4;4.8;4.0;1
paris-75;Restauration rapide à PARIS (75017);150 000 €;150 m²;Pas de pièces;https://www.iadfrance.fr/annonce/local-commercial-vente-paris-150m2/r1854577;https://images.iadfrance.fr/photos/realestate/2025-09/product-1914271-1.jpg?ts=202510092219&format=auto&width=300;Yingying ZHENG;"À CÉDER – Restaurant / Point de vente à emporter à PARIS 



Bon Emplacement 

Situé en plein cœur d’un quartier de bureau à Paris.

Bureaux, entreprises et clientèle fidèle toute l’année !



Activité actuelle

- Principalement sur place (pas de livraison)

-  2 salons privés entièrement équipés et très bien insonorisés

- Cuisine professionnelle et moderne

- Convient pour cuisine asiatique, japonaise, chinoise, Npouille, etc.



Surface : env. 150 m² environ (RDC + étage) 

Grande hotte – Idéal pour toute activité de restauration

Local propre, bien agencé et prêt à travailler



Loyer + charges : 4 300 €/mois

 Bail commercial 



Prix de cession : 150 000 €

Contactez-nous pour plus d'infos ou une visite !

 Opportunité à saisir rapidement !

 Visite sur RDV uniquement

Information d'affichage énergétique sur le bien associé à cette annonce : DPE NS indice  et GES NS indice .La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Yingying ZHENG (ID 54403), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de CRETEIL sous le numéro 899980148";Non renseigné;Non renseigné;Non renseigné;150 000 €;1 000 € / m²;Pas de DPE;Pas de GES;1;4.8;4;4.8;4.0;1
